timestamp,price_open,price_high,price_low,price_close,price_volume,volume_obv,volume_obv_sma_20,volume_obv_sma_50,volume_obv_trend,return,volatility,momentum,return_ts_neutral,volatility_ts_neutral,momentum_ts_neutral
2004-02-02,22.46,22.81,22.08,22.32,5132700,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.010638297872340385,0.022729283672656246,0.048872180451127845,,,
2004-02-03,22.3,22.4,22.0,22.26,3228800,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.0026881720430107503,0.02078633069645652,0.004059539918809252,,,
2004-02-04,22.0,22.09,21.7,21.79,5456300,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.021114106019766488,0.021325997526830957,-0.01358080579447718,,,
2004-02-05,21.82,22.91,21.81,22.42,6300800,40372040795.75,39472886851.06252,37380124135.82502,Up,0.02891234511243712,0.021726330755348515,-0.007525453740593102,,,
2004-02-06,22.45,22.89,22.4,22.71,3452500,40372040795.75,39472886851.06252,37380124135.82502,Up,0.012934879571810942,0.02044931332239548,-0.02782534246575341,,,
2004-02-09,22.62,22.86,22.5,22.667,3361800,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.0018934390136503554,0.020176794122173956,-0.014478260869565163,,,
2004-02-10,22.62,23.12,22.44,22.98,4559700,40372040795.75,39472886851.06252,37380124135.82502,Up,0.013808620461463805,0.019033295445695857,-0.031605562579013924,,,
2004-02-11,23.09,23.87,23.05,23.8,6224000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.035683202785030455,0.02042027785615114,-0.013266998341625258,,,
2004-02-12,23.67,23.99,23.6,23.73,3285500,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.002941176470588225,0.02040718115456119,-0.019421487603305754,,,
2004-02-13,23.85,24.1,22.83,23.0,5642500,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.03076274757690689,0.017403451782371217,0.006564551422319376,-1.276528121346754,-3.0,1.0330498722378545
2004-02-17,23.1,23.49,23.1,23.16,3052800,40372040795.75,39472886851.06252,37380124135.82502,Up,0.006956521739130528,0.017397589676242883,0.019366197183098732,0.43895376716077256,-2.0830045621959767,1.4658751653518975
2004-02-18,23.18,23.44,23.05,23.26,2529200,40372040795.75,39472886851.06252,37380124135.82502,Up,0.0043177892918826455,0.017411414723776865,0.023317201935767695,0.17235437681767515,-1.309098194676747,1.3231833169110043
2004-02-19,23.31,23.64,22.41,22.47,5769300,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.03396388650043003,0.019082819515504584,-0.006191950464396356,-1.3604634997874068,-0.7554677742401072,0.06337096285894402
2004-02-20,22.5,22.51,22.21,22.4,4957200,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.0031152647975077885,0.018579365948346607,0.009918845807033394,-0.040819200910093945,-0.8523779602067436,0.7190120070463804
2004-02-23,22.45,22.46,21.8899,22.19,3465700,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.009374999999999911,0.018285416058908724,-0.016400709219858034,-0.33513987544557833,-0.8654485354362935,-0.3747809065171662
2004-02-24,22.14,22.74,22.0,22.36,4626000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.0076611086074807044,0.01775511809989326,-0.02824858757062154,0.5330323413702888,-0.7874441001426297,-0.7269164285779431
2004-02-25,22.22,22.9,22.21,22.81,4933500,40372040795.75,39472886851.06252,37380124135.82502,Up,0.02012522361359559,0.01837823595616093,-0.011270047680971063,0.9869467271830158,-0.3256086003862936,0.0
2004-02-26,22.84,23.18,22.8,23.04,3543000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.010083296799649366,0.017652698608104884,0.023090586145648295,0.4428464199083924,-0.5501800238636623,1.2995142755899096
2004-02-27,22.96,24.02,22.95,23.92,8372100,40372040795.75,39472886851.06252,37380124135.82502,Up,0.03819444444444464,0.01946727466805636,0.05467372134038806,1.7269133002491104,0.15922576643011185,2.067653798250949
2004-03-01,24.09,24.3,23.87,24.02,5744300,40372040795.75,39472886851.06252,37380124135.82502,Up,0.004180602006688794,0.0193739243155866,0.06471631205673756,-0.0038463336465337844,0.06398765118630503,2.030141659642215
2004-03-02,24.0,24.1,23.77,23.81,4583700,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.008742714404662788,0.019306573352085143,0.06675627240143367,-0.7350260354853341,0.04955538464225334,2.0880027516508357
2004-03-03,23.6,24.19,23.6,23.92,4020200,40372040795.75,39472886851.06252,37380124135.82502,Up,0.00461990760184805,0.01925410759355303,0.07457322551662182,0.008546273130713008,0.04114437191896617,2.13697806206556
2004-03-04,23.96,25.22,23.91,25.16,11789700,40372040795.75,39472886851.06252,37380124135.82502,Up,0.051839464882943,0.021110983330144092,0.15465810004589264,2.506535632346212,0.9332086274592799,3.0
2004-03-05,24.95,27.49,24.9,26.74,27510700,40372040795.75,39472886851.06252,37380124135.82502,Up,0.06279809220985677,0.024077486026009447,0.1926851025869758,3.0,2.3583503140019015,2.5566276052868426
2004-03-08,26.79,26.79,25.8,26.0,9337000,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.027673896783844354,0.025414046547255254,0.14487010127697042,-1.6144103051745011,3.0,1.6527157200150184
2004-03-09,25.9,27.23,25.75,27.1,11042200,40372040795.75,39472886851.06252,37380124135.82502,Up,0.04230769230769238,0.026490810216433673,0.1955706533727446,1.279730708212668,3.0,2.1662860782009967
2004-03-10,26.99,28.14,26.94,27.68,17981500,40372040795.75,39472886851.06252,37380124135.82502,Up,0.021402214022140154,0.02661296608502152,0.2045256744995647,0.5293852259763668,3.0,1.8203367918170827
2004-03-11,27.26,28.04,27.09,27.15,10640200,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.019147398843930685,0.02661741993003469,0.14075630252100835,-0.8047722081739216,1.983119097674774,0.7352166478452893
2004-03-12,27.32,27.78,27.17,27.56,5879000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.015101289134438423,0.026570671164386585,0.16139907290349753,0.31736217058336347,1.1648157226111753,0.7357233026715705
2004-03-15,27.03,27.35,26.26,26.45,8602100,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.04027576197387517,0.027371178390996447,0.1499999999999999,-1.569724763841071,1.0958929140598523,0.6280829137963359
2004-03-16,26.55,26.61,25.39,25.82,10811300,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.023818525519848754,0.028246394870099674,0.1148531951640761,-0.8767861070641256,1.1057549420381474,0.33637434519227516
2004-03-17,25.96,26.38,25.78,26.19,7347000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.014329976762199825,0.02830691722403975,0.1259673258813414,0.25383806752841054,1.0516112998781981,0.2379147390899652
2004-03-18,25.94,26.06,25.59,25.67,5733600,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.0198549064528446,0.02741162460577665,0.14241210502892754,-0.8057452896906002,0.6398737111772902,0.21077271553292654
2004-03-19,25.7,26.94,25.54,25.86,7296000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.0074016361511490825,0.027307397936547965,0.15446428571428572,-0.004021261308049869,0.34171228788411245,0.22861163709829999
2004-03-22,25.37,26.17,25.25,25.86,7482700,40372040795.75,39472886851.06252,37380124135.82502,Neutral,0.0,0.02708096151499377,0.1653898152320865,-0.23692235629648373,0.14504664832224676,0.264221842615285
2004-03-23,25.92,26.0,25.22,25.29,6884200,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.022041763341067333,0.027904017967794334,0.13103756708407865,-0.7053914785006361,0.17428690469488,-0.12596856150268734
2004-03-24,25.3,25.75,25.27,25.5,7646700,40372040795.75,39472886851.06252,37380124135.82502,Up,0.008303677342823335,0.027725770927933553,0.11793073213502847,0.06369041006190627,0.16972199155972842,-0.458754987997601
2004-03-25,26.1,26.91,25.89,26.87,10115100,40372040795.75,39472886851.06252,37380124135.82502,Up,0.05372549019607842,0.02971425175732457,0.16623263888888906,1.062107936725189,0.7459880430972627,0.49942148064107633
2004-03-26,26.91,27.36,26.91,27.04,7498100,40372040795.75,39472886851.06252,37380124135.82502,Up,0.006326758466691507,0.02885951415702471,0.13043478260869557,0.0237057377840019,0.7472137245362719,-0.34356940830380145
2004-03-29,27.4,27.99,27.2,27.91,6263000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.03217455621301779,0.029412663835792552,0.16194837635303916,0.5829250682412773,1.2548037479448555,0.43335238536081794
2004-03-30,27.86,27.95,27.34,27.92,6422800,40372040795.75,39472886851.06252,37380124135.82502,Up,0.0003582945180939934,0.02921070549946681,0.17261654766904666,-0.1498380107008114,1.0938718559034124,0.587215827364334
2004-03-31,27.86,27.98,26.95,27.04,6978100,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.03151862464183386,0.030543759446107772,0.13043478260869557,-0.8625950231976849,1.7107517512596109,-0.6279189925219572
2004-04-01,26.9,27.27,26.62,27.11,5684500,40372040795.75,39472886851.06252,37380124135.82502,Up,0.0025887573964498145,0.0286286696482546,0.07750397456279812,-0.0504070722840423,0.5120453299605443,-1.9886138890821787
2004-04-02,27.74,27.93,27.23,27.5,4901400,40372040795.75,39472886851.06252,37380124135.82502,Up,0.014385835485060783,0.02525440995100469,0.02842183994016456,0.28393258641248303,-1.1179733057882542,-3.0
2004-04-05,27.48,28.37,27.44,28.32,6887000,40372040795.75,39472886851.06252,37380124135.82502,Up,0.029818181818181744,0.02500528963093775,0.08923076923076922,0.637596581028184,-1.238316966527756,-1.3475593760553055
2004-04-06,27.74,28.15,27.43,27.83,4607000,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.017302259887005733,0.023794756652074554,0.026937269372693695,-0.6420972616446129,-1.8230945153168148,-2.4554262650928322
2004-04-07,27.62,27.7,26.92,27.31,4555700,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.018684872439813094,0.023727008172785377,-0.013367052023121384,-0.5987367339315685,-1.8463908965271254,-3.0
2004-04-08,27.9,28.0,27.2,27.53,4302100,40372040795.75,39472886851.06252,37380124135.82502,Up,0.008055657268399852,0.023373211158022683,0.013996316758747795,0.10797588688564057,-1.7161034269904383,-1.6658122795514014
2004-04-12,27.5,28.1,27.49,28.04,4116800,40372040795.75,39472886851.06252,37380124135.82502,Up,0.01852524518706855,0.02349451442329466,0.01741654571843254,0.42217673994277793,-1.1659676007699369,-1.2899524368776776
2004-04-13,28.0,28.03,26.84,26.93,7792800,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.03958630527817397,0.023430991232014815,0.018147448015122913,-1.3217981777418373,-1.0386528109302913,-0.8843626396261535
2004-04-14,26.74,27.07,26.31,26.64,11423800,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.01076865948756034,0.022873892375589285,0.031758326878388754,-0.4759466955659893,-0.9138357806560522,-0.768401469825145
2004-04-15,29.0,29.58,28.16,29.3,31454400,40372040795.75,39472886851.06252,37380124135.82502,Up,0.0998498498498499,0.0316478571280042,0.11874761359297437,2.8846727475275085,0.8295487206347908,0.003479809437868668
2004-04-16,29.07,29.31,28.5,29.18,7195200,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.004095563139931757,0.031160373378420328,0.1367354888975456,-0.3074218702564171,0.6645156641365488,0.16263088244198368
2004-04-19,28.12,28.75,27.83,28.35,12720600,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.028444139821795722,0.03214390650847051,0.09628770301624145,-0.9047151960609768,0.7581136847569881,-0.10364308606877906
2004-04-20,28.21,28.41,27.56,27.73,6330700,40372040795.75,39472886851.06252,37380124135.82502,Down,-0.021869488536155224,0.0326932247385158,0.07231245166279976,-0.6688214293137394,0.7205433672137709,-0.19941315693753303
