Timestamp,price_close,price_volume,RSI,bbands_middle,reportedEPS,atr,volume_nasdaq,close_nasdaq,obv,CPI,GDP,SMA_50,weekday
1/1/2004,21.28,2582900,68.5184,0.3098,0.01,0.0094,900,9.25,-7286816873,186.3,11923.447,0.3222,Thursday
1/2/2004,21.28,2582900,55.4065,0.3098,0.01,0.0094,900,9.25,-7286816873,186.3074369,11925.58183,0.3222,Friday
1/5/2004,22.17,7053900,63.7956,0.3106,0.01,0.0099,12600,8.75,-6891798078,186.3328533,11931.97458,0.3221,Monday
1/6/2004,22.09,9095500,62.6546,0.3115,0.01,0.0099,3900,8.8,-7401146587,186.3423039,11934.10168,0.3218,Tuesday
1/7/2004,22.59,10479900,66.6673,0.3127,0.01,0.0102,21700,8.75,-6814271601,186.3522154,11936.22692,0.3218,Wednesday
1/8/2004,23.36,8219700,71.7087,0.3148,0.01,0.0099,12800,9.2,-6353967941,186.3625707,11938.35031,0.322,Thursday
1/9/2004,23,7633200,66.6344,0.3168,0.01,0.0114,12700,9,-6781427568,186.3733529,11940.47188,0.3218,Friday
1/12/2004,23.73,8706200,71.1002,0.3187,0.01,0.0116,12800,9.2,-6293879881,186.4080903,11946.82599,0.3218,Monday
1/13/2004,24.12,12125300,73.1666,0.3211,0.01,0.012,3300,10.9,-5614862402,186.4204096,11948.94057,0.3221,Tuesday
1/14/2004,24.2,11072200,73.5838,0.3242,0.01,0.012,22600,10.6,-6781427568,186.4330707,11951.05347,0.3225,Wednesday
1/15/2004,22.85,18182300,57.3717,0.3262,0.010000027,0.0129,12200,10.95,-6013028400,186.4460564,11953.16471,0.3224,Thursday
1/16/2004,22.72,6657500,56.0901,0.3284,0.010000054,0.0125,21800,10.8,-6385848772,186.4593498,11955.27432,0.3224,Friday
1/19/2004,22.72,6657500,56.0901,0.3284,0.010000127,0.0125,21800,10.8,-6385848772,186.500906,11961.59361,0.3224,Monday
1/20/2004,22.73,5641900,56.1712,0.3304,0.01000015,0.0122,34800,11,-6069902057,186.51526,11963.69696,0.3223,Tuesday
1/21/2004,22.61,4047500,54.8617,0.3326,0.010000172,0.0119,29300,10.95,-6296562283,186.5298365,11965.7988,0.3221,Wednesday
1/22/2004,22.18,3660800,50.3334,0.3343,0.010000193,0.0117,51300,10.95,-6501567288,186.5446186,11967.89916,0.322,Thursday
1/23/2004,22.56,4056600,53.9507,0.3364,0.010000214,0.0115,25800,10.4,-6274397461,186.5595892,11969.99808,0.3222,Friday
1/26/2004,23.01,4844100,57.8644,0.3384,0.01000027,0.0114,7000,10.5,-6003127590,186.605462,11976.2864,0.3227,Monday
1/27/2004,23.07,5483400,58.3724,0.3401,0.010000287,0.011,15600,10.26,-5696056883,186.6210165,11978.37978,0.3229,Tuesday
1/28/2004,22.52,4917900,52.1639,0.3411,0.010000303,0.0113,22600,9.5,-5971459558,186.6366744,11980.47184,0.3229,Wednesday
1/29/2004,22.68,3798200,53.7065,0.3422,0.010000319,0.0111,37300,8.75,-5758760146,186.6524188,11982.56261,0.3233,Thursday
1/30/2004,22.56,3308900,52.3432,0.3431,0.010000333,0.0108,19000,8.85,-5944058731,186.6682325,11984.65211,0.3237,Friday
2/2/2004,22.32,5132700,49.6298,0.3438,0.010000373,0.0108,21000,8.96,-6231490218,186.7159197,11990.91329,0.3243,Monday
2/3/2004,22.26,3228800,48.9466,0.3439,0.010000385,0.0105,6300,9.05,-6412303198,186.7318408,11992.99798,0.3248,Tuesday
2/4/2004,21.79,5456300,43.8544,0.3437,0.010000396,0.0103,2500,9,-6717856303,186.7477461,11995.08155,0.3253,Wednesday
2/5/2004,22.42,6300800,51.1854,0.3436,0.010000406,0.0108,42100,9.1,-6365011151,186.7636186,11997.164,0.3259,Thursday
2/6/2004,22.71,3452500,54.153,0.3431,0.010000416,0.0106,7100,9.1,-6171670958,186.7794414,11999.24537,0.3264,Friday
