Date,Real Upper Band,Real Middle Band,Real Lower Band
1999-11-29,0.7489,0.6741,0.5994
1999-11-30,0.7489,0.6818,0.6147
1999-12-01,0.7592,0.6903,0.6215
1999-12-02,0.7843,0.7011,0.6179
1999-12-03,0.8164,0.7129,0.6095
1999-12-06,0.8454,0.7233,0.6013
1999-12-07,0.8726,0.7314,0.5902
1999-12-08,0.8837,0.7391,0.5945
1999-12-09,0.8887,0.7443,0.5999
1999-12-10,0.8914,0.7483,0.6053
1999-12-13,0.8912,0.7515,0.6117
1999-12-14,0.8898,0.7535,0.6173
1999-12-15,0.8889,0.7557,0.6225
1999-12-16,0.8875,0.7587,0.63
1999-12-17,0.8855,0.7627,0.6398
1999-12-20,0.8843,0.7647,0.6451
1999-12-21,0.8826,0.7692,0.6558
1999-12-22,0.8809,0.7719,0.6629
1999-12-23,0.8807,0.7752,0.6697
1999-12-27,0.8796,0.7768,0.6741
1999-12-28,0.8781,0.7782,0.6783
1999-12-29,0.8778,0.7792,0.6807
1999-12-30,0.8773,0.7782,0.6791
1999-12-31,0.8718,0.7754,0.6791
2000-01-03,0.8668,0.7743,0.6817
2000-01-04,0.85,0.7692,0.6884
2000-01-05,0.8249,0.764,0.7031
2000-01-06,0.8154,0.7583,0.7013
2000-01-07,0.8112,0.7562,0.7011
2000-01-10,0.8092,0.7542,0.6992
2000-01-11,0.8121,0.7518,0.6916
2000-01-12,0.8207,0.749,0.6772
2000-01-13,0.8207,0.7489,0.677
2000-01-14,0.8214,0.7497,0.6779
2000-01-18,0.8243,0.7511,0.678
2000-01-19,0.8304,0.7544,0.6784
2000-01-20,0.8459,0.7585,0.6712
2000-01-21,0.8565,0.7628,0.669
2000-01-24,0.8587,0.7638,0.6689
2000-01-25,0.8694,0.7687,0.6679
2000-01-26,0.8762,0.7732,0.6702
2000-01-27,0.8821,0.7767,0.6713
2000-01-28,0.8823,0.7772,0.6721
2000-01-31,0.8826,0.7775,0.6725
2000-02-01,0.8743,0.7731,0.672
2000-02-02,0.8738,0.7718,0.6698
2000-02-03,0.8734,0.7715,0.6696
2000-02-04,0.8763,0.7764,0.6765
2000-02-07,0.8869,0.7819,0.6768
2000-02-08,0.8969,0.7883,0.6797
2000-02-09,0.8989,0.7958,0.6927
2000-02-10,0.8893,0.8057,0.722
2000-02-11,0.8859,0.8102,0.7345
2000-02-14,0.8918,0.816,0.7402
2000-02-15,0.9031,0.8216,0.7401
2000-02-16,0.9069,0.8245,0.742
2000-02-17,0.9083,0.825,0.7417
2000-02-18,0.9083,0.825,0.7417
2000-02-22,0.9113,0.8278,0.7443
2000-02-23,0.915,0.8293,0.7436
2000-02-24,0.9184,0.8312,0.744
2000-02-25,0.9185,0.8313,0.7441
2000-02-28,0.9177,0.8357,0.7538
2000-02-29,0.9184,0.8398,0.7612
2000-03-01,0.9414,0.8511,0.7608
2000-03-02,0.9399,0.8598,0.7798
2000-03-03,0.9517,0.8691,0.7865
2000-03-06,0.9605,0.8758,0.7911
2000-03-07,0.9659,0.8791,0.7923
2000-03-08,0.9699,0.8818,0.7937
2000-03-09,0.9735,0.8854,0.7973
2000-03-10,0.9806,0.89,0.7994
2000-03-13,0.9795,0.8947,0.81
2000-03-14,0.9797,0.8941,0.8086
2000-03-15,0.9791,0.8931,0.8071
2000-03-16,0.9808,0.8959,0.811
2000-03-17,0.9854,0.8997,0.814
2000-03-20,0.9855,0.9041,0.8228
2000-03-21,1.0035,0.9121,0.8206
2000-03-22,1.0392,0.9226,0.806
2000-03-23,1.061,0.9324,0.8038
2000-03-24,1.0713,0.9431,0.8148
2000-03-27,1.0821,0.953,0.8238
2000-03-28,1.0904,0.9622,0.8339
2000-03-29,1.0951,0.9643,0.8335
2000-03-30,1.095,0.9657,0.8364
2000-03-31,1.1002,0.9686,0.8371
2000-04-03,1.1035,0.9715,0.8396
2000-04-04,1.1035,0.9732,0.8428
2000-04-05,1.1042,0.9763,0.8485
2000-04-06,1.1037,0.9774,0.8512
2000-04-07,1.1052,0.9797,0.8542
2000-04-10,1.1042,0.9811,0.858
2000-04-11,1.0994,0.983,0.8666
2000-04-12,1.1083,0.9804,0.8525
2000-04-13,1.1137,0.9775,0.8413
2000-04-14,1.1204,0.9725,0.8247
2000-04-17,1.1204,0.9729,0.8254
2000-04-18,1.1162,0.9698,0.8235
2000-04-19,1.0996,0.9612,0.8227
2000-04-20,1.0858,0.9527,0.8196
2000-04-24,1.0736,0.9459,0.8182
2000-04-25,1.0606,0.9416,0.8227
2000-04-26,1.0442,0.9349,0.8257
2000-04-27,1.0336,0.9315,0.8294
2000-04-28,1.0327,0.9309,0.829
2000-05-01,1.0196,0.9265,0.8335
2000-05-02,1.0083,0.9207,0.8331
2000-05-03,1.0051,0.9161,0.8271
2000-05-04,0.9996,0.9087,0.8178
2000-05-05,0.997,0.9042,0.8113
2000-05-08,0.9854,0.896,0.8066
2000-05-09,0.9861,0.8887,0.7912
2000-05-10,0.9963,0.8811,0.7659
2000-05-11,1.0006,0.8787,0.7568
2000-05-12,1.0016,0.8764,0.7511
2000-05-15,1.0068,0.8723,0.7377
2000-05-16,1.001,0.8654,0.7298
2000-05-17,0.992,0.8558,0.7196
2000-05-18,0.9883,0.8482,0.7081
2000-05-19,0.9899,0.8388,0.6877
2000-05-22,0.9906,0.8273,0.6641
2000-05-23,0.98,0.8113,0.6427
2000-05-24,0.9729,0.7987,0.6245
2000-05-25,0.9533,0.7838,0.6144
2000-05-26,0.9341,0.7697,0.6052
2000-05-30,0.9083,0.7558,0.6033
2000-05-31,0.8923,0.7431,0.5939
2000-06-01,0.8745,0.7333,0.5922
2000-06-02,0.8609,0.7265,0.5922
2000-06-05,0.8408,0.7183,0.5959
2000-06-06,0.8235,0.7118,0.6001
2000-06-07,0.8141,0.7085,0.6029
2000-06-08,0.811,0.7068,0.6026
2000-06-09,0.804,0.7041,0.6043
2000-06-12,0.7855,0.698,0.6104
2000-06-13,0.7786,0.6955,0.6124
2000-06-14,0.7593,0.6898,0.6202
2000-06-15,0.7475,0.6864,0.6253
2000-06-16,0.7344,0.6828,0.6312
2000-06-19,0.7379,0.6838,0.6297
2000-06-20,0.7517,0.688,0.6243
2000-06-21,0.7857,0.6976,0.6095
2000-06-22,0.8037,0.7051,0.6065
2000-06-23,0.8119,0.7111,0.6103
2000-06-26,0.8255,0.7194,0.6132
2000-06-27,0.8307,0.7254,0.62
2000-06-28,0.8384,0.7347,0.631
2000-06-29,0.8402,0.7397,0.6393
2000-06-30,0.8448,0.7443,0.6439
2000-07-03,0.8499,0.7501,0.6503
2000-07-05,0.8516,0.754,0.6564
2000-07-06,0.854,0.7567,0.6594
2000-07-07,0.8607,0.7619,0.6632
2000-07-10,0.8744,0.7689,0.6634
2000-07-11,0.8823,0.7774,0.6726
2000-07-12,0.8964,0.7862,0.6759
2000-07-13,0.8969,0.7947,0.6925
2000-07-14,0.8994,0.8033,0.7073
2000-07-17,0.8978,0.8129,0.728
2000-07-18,0.8971,0.8196,0.7421
2000-07-19,0.8951,0.8212,0.7472
2000-07-20,0.8945,0.8208,0.7471
2000-07-21,0.8945,0.8207,0.7468
2000-07-24,0.8997,0.8184,0.7371
2000-07-25,0.9015,0.8153,0.7292
2000-07-26,0.9031,0.8141,0.7251
2000-07-27,0.9022,0.8122,0.7222
