,SMA_20
2004-01-02,-0.7767774088326346
2004-01-05,-0.776765050796486
2004-01-06,-0.7767511480058188
2004-01-07,-0.776732610951596
2004-01-08,-0.776700171106706
2004-01-09,-0.7766692760163345
2004-01-12,-0.7766399256804817
2004-01-13,-0.7766028515720359
2004-01-14,-0.7765549641819602
2004-01-15,-0.7765240690915888
2004-01-16,-0.7764900844921802
2004-01-20,-0.7764591894018088
2004-01-21,-0.7764252048024002
2004-01-22,-0.7763989439755845
2004-01-23,-0.7763665041306945
2004-01-26,-0.776335609040323
2004-01-27,-0.7763093482135073
2004-01-28,-0.7762939006683216
2004-01-29,-0.7762769083686173
2004-01-30,-0.7762630055779501
2004-02-02,-0.77625219229632
2004-02-03,-0.7762506475418016
2004-02-04,-0.7762537370508387
2004-02-05,-0.7762552818053572
2004-02-06,-0.7762630055779501
2004-02-09,-0.7762676398415059
2004-02-10,-0.7762753636140987
2004-02-11,-0.7762799978776544
2004-02-12,-0.7762846321412101
2004-02-13,-0.7762830873866916
2004-02-17,-0.7762784531231358
2004-02-18,-0.7762722741050615
2004-02-19,-0.7762738188595801
2004-02-20,-0.776270729350543
2004-02-23,-0.7762753636140987
2004-02-24,-0.7762830873866916
2004-02-25,-0.7762861768957287
2004-02-26,-0.7762799978776544
2004-02-27,-0.7762660950869873
2004-03-01,-0.776249102787283
2004-03-02,-0.7762321104875787
2004-03-03,-0.7762120286788372
2004-03-04,-0.7761734098158729
2004-03-05,-0.77612243291676
2004-03-08,-0.7760853588083144
2004-03-09,-0.776032837154683
2004-03-10,-0.7759787707465329
2004-03-11,-0.7759401518835686
2004-03-12,-0.77589535400253
2004-03-15,-0.7758551903850471
2004-03-16,-0.7758242952946757
2004-03-17,-0.775790310695267
2004-03-18,-0.7757532365868214
2004-03-19,-0.7757130729693384
2004-03-22,-0.7756698198428185
2004-03-23,-0.77563583524341
2004-03-24,-0.7756049401530385
2004-03-25,-0.7755601422719999
2004-03-26,-0.7755246129180727
2004-03-29,-0.7754782702825155
2004-03-30,-0.7754303828924398
2004-03-31,-0.7753948535385127
2004-04-01,-0.7753716822207342
2004-04-02,-0.7753624136936226
2004-04-05,-0.7753361528668069
2004-04-06,-0.7753284290942141
2004-04-07,-0.7753315186032512
2004-04-08,-0.7753268843396955
2004-04-12,-0.7753222500761398
2004-04-13,-0.7753160710580654
2004-04-14,-0.7753068025309541
2004-04-15,-0.7752712731770269
2004-04-16,-0.7752295648050255
2004-04-19,-0.7752017592236912
