,RSI
11/19/1999,69.9838
11/22/1999,66.4703
1/1/2004,68.5184
1/1/2004,70.2012
11/26/1999,70.535
11/29/1999,69.4036
11/30/1999,72.5435
12/1/1999,76.5988
12/2/1999,80.7953
12/3/1999,83.0089
12/6/1999,83.4364
12/7/1999,84.2107
12/8/1999,69.2776
12/9/1999,61.9366
12/10/1999,58.7979
12/13/1999,53.5979
12/14/1999,48.7991
12/15/1999,51.2246
12/16/1999,52.7084
12/17/1999,54.6261
12/20/1999,51.9417
12/21/1999,57.0553
12/22/1999,53.5636
12/23/1999,57.4622
12/27/1999,51.9355
12/28/1999,50.5363
12/29/1999,53.5448
12/30/1999,53.017
12/31/1999,56.0843
1/3/2000,65.0564
1/4/2000,52.9996
1/5/2000,54.4443
1/6/2000,45.4225
1/7/2000,49.8933
1/10/2000,48.2384
1/11/2000,43.7711
1/12/2000,39.4014
1/13/2000,48.8557
1/14/2000,51.9705
1/18/2000,54.7834
1/19/2000,56.822
1/20/2000,61.7423
1/21/2000,59.4404
1/24/2000,54.3945
1/25/2000,58.8548
1/26/2000,56.8008
1/27/2000,56.6045
1/28/2000,48.6258
1/31/2000,50.5344
2/1/2000,47.4172
2/2/2000,46.1557
2/3/2000,50.5804
2/4/2000,54.7536
2/7/2000,59.5113
2/8/2000,60.115
2/9/2000,57.5481
2/10/2000,58.2981
2/11/2000,52.8687
2/14/2000,58.9831
2/15/2000,61.4187
2/16/2000,55.9458
2/17/2000,56.5861
2/18/2000,52.6115
2/22/2000,55.0178
2/23/2000,57.2461
2/24/2000,55.9614
2/25/2000,50.3624
2/28/2000,53.3589
2/29/2000,54.7581
3/1/2000,66.9763
3/2/2000,58.0364
3/3/2000,61.9822
3/6/2000,59.6565
3/7/2000,56.8519
3/8/2000,55.9776
3/9/2000,56.1861
3/10/2000,59.1065
3/13/2000,54.1735
3/14/2000,47.3993
3/15/2000,49.3322
3/16/2000,54.1496
3/17/2000,57.0018
3/20/2000,54.8649
3/21/2000,63.6307
3/22/2000,68.702
3/23/2000,65.6334
3/24/2000,62.8817
3/27/2000,63.43
3/28/2000,62.9352
3/29/2000,59.243
3/30/2000,49.2945
3/31/2000,56.9759
4/3/2000,54.756
4/4/2000,49.7463
4/5/2000,52.1582
4/6/2000,47.9669
4/7/2000,53.0972
4/10/2000,47.8674
4/11/2000,44.0212
4/12/2000,37.9955
4/13/2000,41.8326
4/14/2000,40.6792
4/17/2000,49.8837
4/18/2000,51.8934
4/19/2000,47.9265
4/20/2000,46.4308
4/24/2000,47.7041
4/25/2000,53.4173
4/26/2000,48.3218
4/27/2000,52.1425
4/28/2000,50.1674
5/1/2000,50.3556
5/2/2000,45.5799
5/3/2000,43.6353
5/4/2000,40.7253
5/5/2000,43.0016
5/8/2000,40.9127
5/9/2000,37.8258
5/10/2000,34.1873
5/11/2000,37.8625
5/12/2000,42.6061
5/15/2000,38.2753
5/16/2000,42.7176
5/17/2000,39.8712
5/18/2000,39.4647
5/19/2000,35.2515
5/22/2000,32.9714
5/23/2000,30.7897
5/24/2000,32.9642
5/25/2000,32.7169
5/26/2000,32.1601
5/30/2000,33.7651
5/31/2000,31.3737
6/1/2000,38.1576
6/2/2000,42.2856
6/5/2000,41.2092
6/6/2000,43.1541
6/7/2000,47.5721
6/8/2000,45.7559
6/9/2000,46.928
6/12/2000,42.1679
6/13/2000,46.4166
6/14/2000,42.3106
6/15/2000,44.8099
6/16/2000,43.5672
6/19/2000,50.3863
6/20/2000,55.3416
6/21/2000,63.7672
6/22/2000,59.2456
6/23/2000,54.671
6/26/2000,58.7353
6/27/2000,53.6795
6/28/2000,58.0724
6/29/2000,51.7988
6/30/2000,53.7066
7/3/2000,55.2756
7/5/2000,51.8565
7/6/2000,52.1977
7/7/2000,56.9932
7/10/2000,61.2727
7/11/2000,60.8124
7/12/2000,63.8024
7/13/2000,57.9597
7/14/2000,59.9353
7/17/2000,60.9645
7/18/2000,58.2112
7/19/2000,48.139
7/20/2000,52.8411
7/21/2000,49.7175
7/24/2000,41.5189
7/25/2000,44.3015
7/26/2000,44.3015
7/27/2000,48.3385
7/28/2000,42.0897
7/31/2000,47.081
8/1/2000,44.5973
8/2/2000,41.3695
8/3/2000,42.9874
8/4/2000,41.9567
8/7/2000,43.2795
8/8/2000,41.1342
8/9/2000,43.0502
8/10/2000,43.2095
8/11/2000,43.5777
8/14/2000,42.1515
