,SMA_50
2000-01-11,0.7325
2000-01-12,0.7339
2000-01-13,0.7364
2000-01-14,0.7392
2000-01-18,0.7423
2000-01-19,0.7450
2000-01-20,0.7476
2000-01-21,0.7509
2000-01-24,0.7531
2000-01-25,0.7561
2000-01-26,0.7591
2000-01-27,0.7622
2000-01-28,0.7637
2000-01-31,0.7658
2000-02-01,0.7674
2000-02-02,0.7683
2000-02-03,0.7702
2000-02-04,0.7725
2000-02-07,0.7754
2000-02-08,0.7784
2000-02-09,0.7811
2000-02-10,0.7835
2000-02-11,0.7843
2000-02-14,0.7852
2000-02-15,0.7858
2000-02-16,0.7855
2000-02-17,0.7851
2000-02-18,0.7852
2000-02-22,0.7865
2000-02-23,0.7885
2000-02-24,0.7910
2000-02-25,0.7933
2000-02-28,0.7957
2000-02-29,0.7982
2000-03-01,0.8027
2000-03-02,0.8064
2000-03-03,0.8102
2000-03-06,0.8141
2000-03-07,0.8170
2000-03-08,0.8204
2000-03-09,0.8240
2000-03-10,0.8278
2000-03-13,0.8309
2000-03-14,0.8327
2000-03-15,0.8333
2000-03-16,0.8362
2000-03-17,0.8393
2000-03-20,0.8436
2000-03-21,0.8489
2000-03-22,0.8559
2000-03-23,0.8632
2000-03-24,0.8709
2000-03-27,0.8774
2000-03-28,0.8832
2000-03-29,0.8880
2000-03-30,0.8909
2000-03-31,0.8942
2000-04-03,0.8976
2000-04-04,0.9007
2000-04-05,0.9035
2000-04-06,0.9057
2000-04-07,0.9090
2000-04-10,0.9125
2000-04-11,0.9149
2000-04-12,0.9162
2000-04-13,0.9185
2000-04-14,0.9198
2000-04-17,0.9221
2000-04-18,0.9241
2000-04-19,0.9250
2000-04-20,0.9260
2000-04-24,0.9270
2000-04-25,0.9300
2000-04-26,0.9308
2000-04-27,0.9319
2000-04-28,0.9334
2000-05-01,0.9349
2000-05-02,0.9359
2000-05-03,0.9360
2000-05-04,0.9352
2000-05-05,0.9349
2000-05-08,0.9349
2000-05-09,0.9337
2000-05-10,0.9314
2000-05-11,0.9272
2000-05-12,0.9251
2000-05-15,0.9210
2000-05-16,0.9180
2000-05-17,0.9148
2000-05-18,0.9116
2000-05-19,0.9073
2000-05-22,0.9019
2000-05-23,0.8966
2000-05-24,0.8926
2000-05-25,0.8882
2000-05-26,0.8829
2000-05-30,0.8773
2000-05-31,0.8714
2000-06-01,0.8646
2000-06-02,0.8568
2000-06-05,0.8493
2000-06-06,0.8424
2000-06-07,0.8359
2000-06-08,0.8292
2000-06-09,0.8232
2000-06-12,0.8180
2000-06-13,0.8118
2000-06-14,0.8053
2000-06-15,0.8001
2000-06-16,0.7942
2000-06-19,0.7899
2000-06-20,0.7853
2000-06-21,0.7832
2000-06-22,0.7814
2000-06-23,0.7805
2000-06-26,0.7797
2000-06-27,0.7784
2000-06-28,0.7762
2000-06-29,0.7725
2000-06-30,0.7701
2000-07-03,0.7682
2000-07-05,0.7656
2000-07-06,0.7619
2000-07-07,0.7600
2000-07-10,0.7582
2000-07-11,0.7566
2000-07-12,0.7556
2000-07-13,0.7549
2000-07-14,0.7549
2000-07-17,0.7558
2000-07-18,0.7560
2000-07-19,0.7553
2000-07-20,0.7561
2000-07-21,0.7572
2000-07-24,0.7564
2000-07-25,0.7553
2000-07-26,0.7552
2000-07-27,0.7549
2000-07-28,0.7542
2000-07-31,0.7543
2000-08-01,0.7550
2000-08-02,0.7557
2000-08-03,0.7572
2000-08-04,0.7583
2000-08-07,0.7596
2000-08-08,0.7607
2000-08-09,0.7618
2000-08-10,0.7635
2000-08-11,0.7644
2000-08-14,0.7646
2000-08-15,0.7649
2000-08-16,0.7656
2000-08-17,0.7665
2000-08-18,0.7673
2000-08-21,0.7681
2000-08-22,0.7699
2000-08-23,0.7720
2000-08-24,0.7753
2000-08-25,0.7785
2000-08-28,0.7823
2000-08-29,0.7855
2000-08-30,0.7882
2000-08-31,0.7898
2000-09-01,0.7927
2000-09-05,0.7960
2000-09-06,0.7973
2000-09-07,0.8003
2000-09-08,0.8017
2000-09-11,0.8038
2000-09-12,0.8055
2000-09-13,0.8069
2000-09-14,0.8084
2000-09-15,0.8095
2000-09-18,0.8113
2000-09-19,0.8122
2000-09-20,0.8134
2000-09-21,0.8128
2000-09-22,0.8115
2000-09-25,0.8102
2000-09-26,0.8081
2000-09-27,0.8056
2000-09-28,0.8059
2000-09-29,0.7970
2000-10-02,0.7882
2000-10-03,0.7803
2000-10-04,0.7723
2000-10-05,0.7639
2000-10-06,0.7549
2000-10-09,0.7469
2000-10-10,0.7379
2000-10-11,0.7290
2000-10-12,0.7208
2000-10-13,0.7130
2000-10-16,0.7052
2000-10-17,0.6968
2000-10-18,0.6888
2000-10-19,0.6802
2000-10-20,0.6718
2000-10-23,0.6636
2000-10-24,0.6551
2000-10-25,0.6466
2000-10-26,0.6376
2000-10-27,0.6277
2000-10-30,0.6184
2000-10-31,0.6091
2000-11-01,0.5998
2000-11-02,0.5901
2000-11-03,0.5799
2000-11-06,0.5693
2000-11-07,0.5582
2000-11-08,0.5465
2000-11-09,0.5346
2000-11-10,0.5220
2000-11-13,0.5088
2000-11-14,0.4961
2000-11-15,0.4845
2000-11-16,0.4715
2000-11-17,0.4594
2000-11-20,0.4475
2000-11-21,0.4358
2000-11-22,0.4239
2000-11-24,0.4126
2000-11-27,0.4016
2000-11-28,0.3888
2000-11-29,0.3760
2000-11-30,0.3626
2000-12-01,0.3507
2000-12-04,0.3400
2000-12-05,0.3290
2000-12-06,0.3178
2000-12-07,0.3074
2000-12-08,0.2959
2000-12-11,0.2927
2000-12-12,0.2900
2000-12-13,0.2878
2000-12-14,0.2850
2000-12-15,0.2826
2000-12-18,0.2803
2000-12-19,0.2779
2000-12-20,0.2760
2000-12-21,0.2743
2000-12-22,0.2728
2000-12-26,0.2706
2000-12-27,0.2686
2000-12-28,0.2670
2000-12-29,0.2654
2001-01-02,0.2642
2001-01-03,0.2632
2001-01-04,0.2622
2001-01-05,0.2615
2001-01-08,0.2609
2001-01-09,0.2605
2001-01-10,0.2599
2001-01-11,0.2595
2001-01-12,0.2588
2001-01-16,0.2578
2001-01-17,0.2561
2001-01-18,0.2550
2001-01-19,0.2545
2001-01-22,0.2538
2001-01-23,0.2540
2001-01-24,0.2541
2001-01-25,0.2543
2001-01-26,0.2544
2001-01-29,0.2548
